Date,Close,High,Low,Open,Volume,date_weekday,netChangeRatio,positive
2020-01-02,28.68400001525879,28.713333129882812,28.11400032043457,28.299999237060547,142981500,3,,0
2020-01-03,29.534000396728516,30.266666412353516,29.128000259399418,29.36666679382324,266677500,4,2.963325829792085,1
2020-01-06,30.1026668548584,30.104000091552734,29.333332061767575,29.364667892456055,151995000,0,1.925463704513497,1
2020-01-07,31.270666122436523,31.441999435424805,30.224000930786133,30.760000228881836,268231500,1,3.880052465815398,1
2020-01-08,32.80933380126953,33.232666015625,31.215333938598633,31.579999923706055,467164500,2,4.920482578812169,1
2020-01-09,32.089332580566406,33.253334045410156,31.524667739868164,33.13999938964844,426606000,3,-2.1945011900097344,0
2020-01-10,31.87666702270508,32.3293342590332,31.579999923706055,32.11933135986328,194392500,4,-0.6627297633174156,0
2020-01-13,34.990665435791016,35.04199981689453,32.79999923706055,32.900001525878906,397764000,0,9.76889588509331,1
2020-01-14,35.861331939697266,36.49399948120117,34.99333190917969,36.28400039672851,434943000,1,2.4882822120200876,1
2020-01-15,34.56666564941406,35.85599899291992,34.452667236328125,35.31733322143555,260532000,2,-3.6102013513057862,0
2020-01-16,34.232666015625,34.297332763671875,32.81133270263672,32.91666793823242,326050500,3,-0.9662477636014799,0
2020-01-17,34.03333282470703,34.37799835205078,33.54399871826172,33.840667724609375,204436500,4,-0.5822894156913949,0
2020-01-21,36.47999954223633,36.571998596191406,35.227333068847656,35.349998474121094,267052500,1,7.1890306192789355,1
2020-01-22,37.97066879272461,39.633331298828125,37.27333450317383,38.125999450683594,470535000,2,4.086264444061727,1
2020-01-23,38.14666748046875,38.79999923706055,37.040000915527344,37.616668701171875,294765000,3,0.4635122144013071,1
2020-01-24,37.654666900634766,38.25733184814453,36.95066833496094,38.04199981689453,215304000,4,-1.2897603180825445,0
2020-01-27,37.20133209228515,37.62933349609375,35.95199966430664,36.132667541503906,204121500,0,-1.2039272835579706,0
2020-01-28,37.793331146240234,38.45399856567383,37.2053337097168,37.89933395385742,176827500,1,1.591338322204483,1
2020-01-29,38.732666015625,39.31999969482422,37.82866668701172,38.37933349609375,267022500,2,2.4854513769903885,1
2020-01-30,42.72066879272461,43.391998291015625,41.20000076293945,42.16133117675781,435085500,3,10.296225866535558,1
2020-01-31,43.371334075927734,43.53333282470703,42.167999267578125,42.66666793823242,235789500,4,1.5230690473505337,1
2020-02-03,52.0,52.409332275390625,44.90133285522461,44.91266632080078,705975000,0,19.8948593763949,1
2020-02-04,59.137332916259766,64.59933471679688,55.59199905395508,58.86399841308594,914082000,1,13.725640223576473,1
2020-02-05,48.97999954223633,56.39866638183594,46.94066619873047,54.88399887084961,726357000,2,-17.17583947927872,0
2020-02-06,49.930667877197266,53.05533218383789,45.79999923706055,46.66133117675781,598212000,3,1.940931694254422,1
2020-02-07,49.871334075927734,51.31666564941406,48.66666793823242,48.70333480834961,255952500,4,-0.1188323805631053,0
2020-02-10,51.41866683959961,54.66600036621094,50.15999984741211,53.33333206176758,370338000,0,3.1026496329857656,1
2020-02-11,51.62533187866211,52.23400115966797,50.53333282470703,51.25266647338867,175462500,1,0.4019260937028868,1
2020-02-12,51.15266799926758,52.650001525878906,50.891334533691406,51.858001708984375,180337500,2,-0.9155657933695438,0
